,Current,Fully Paid,Charged Off,Late (31-120 days),In Grace Period,Late (16-30 days),Default,Sum,Good Loans,Bad Loans,Good Rate
0-5000,699,114,34,7,5,2,1,862.0,813,49.0,0.9431554524361949
5000-10000,1899,251,49,35,11,7,2,2254.0,2150,104.0,0.9538598047914818
10000-15000,1960,211,54,29,9,2,3,2268.0,2171,97.0,0.9572310405643739
15000-20000,1452,165,41,32,10,4,4,1708.0,1617,91.0,0.9467213114754098
20000-25000,1095,119,18,22,8,4,2,1268.0,1214,54.0,0.9574132492113565
25000-30000,481,39,9,13,2,2,2,548.0,520,28.0,0.948905109489051
30000-35000,273,27,7,3,2,0,0,312.0,300,12.0,0.9615384615384616
35000-40000,263,25,6,7,1,0,2,304.0,288,16.0,0.9473684210526315
